id;role;nom;prenom;email;passwd;adresse_agent_1;adresse_agent_2;residence_admin_1;residence_admin_2;type_personnel;intitule;grade;im_vehicule;pf_vehicule;signature_name;login_cas;carte_sncf;matricule;date_naissance;actif;lieu_travail_id;equipe_id;nationalite;est_francais;genre;hdr;permanent;est_porteur;date_creation;date_sortie;taux
3;;nomUser2;prenomUser3;user3@email.fr;$2y$10$PksbXyiUFxHocqxYr4HmlOJfGGOJqfeWmYwieXQroCL3ChQQr1zEC;adress3;;residence3;;PU;intitule3;"Chef d equipe";imatricula;3;NomPrenomUser3;;carteSncf3;101010103;1990-10-20;1;2;2;Français;1;h;;1;0;"2019-05-01 16:15:00";;54
3;;nomUser2;prenomUser3;user3@email.fr;$2y$10$PksbXyiUFxHocqxYr4HmlOJfGGOJqfeWmYwieXQroCL3ChQQr1zEC;adress3;;residence3;;PU;intitule3;"Chef d equipe";imatricula;3;NomPrenomUser3;;carteSncf3;101010103;1990-10-20;1;2;2;Français;1;h;;1;0;"2019-05-01 16:15:00";;22
3;;nomUser2;prenomUser3;user3@email.fr;$2y$10$PksbXyiUFxHocqxYr4HmlOJfGGOJqfeWmYwieXQroCL3ChQQr1zEC;adress3;;residence3;;PU;intitule3;"Chef d equipe";imatricula;3;NomPrenomUser3;;carteSncf3;101010103;1990-10-20;1;2;2;Français;1;h;;1;0;"2019-05-01 16:15:00";;100
4;;nomUser3;prenomUser4;user4@email.fr;$2y$10$PksbXyiUFxHocqxYr4HmlOJfGGOJqfeWmYwieXQroCL3ChQQr1zEC;adresse4;;residence4;;PU;intitule4;Chercheur;imatricula;4;NomPrenomUser4;;carteSncf4;101010104;1999-12-25;1;1;1;Allemand;0;h;;0;0;"2019-05-01 16:15:00";;46
4;;nomUser3;prenomUser4;user4@email.fr;$2y$10$PksbXyiUFxHocqxYr4HmlOJfGGOJqfeWmYwieXQroCL3ChQQr1zEC;adresse4;;residence4;;PU;intitule4;Chercheur;imatricula;4;NomPrenomUser4;;carteSncf4;101010104;1999-12-25;1;1;1;Allemand;0;h;;0;0;"2019-05-01 16:15:00";;47
4;;nomUser3;prenomUser4;user4@email.fr;$2y$10$PksbXyiUFxHocqxYr4HmlOJfGGOJqfeWmYwieXQroCL3ChQQr1zEC;adresse4;;residence4;;PU;intitule4;Chercheur;imatricula;4;NomPrenomUser4;;carteSncf4;101010104;1999-12-25;1;1;1;Allemand;0;h;;0;0;"2019-05-01 16:15:00";;100
4;;nomUser3;prenomUser4;user4@email.fr;$2y$10$PksbXyiUFxHocqxYr4HmlOJfGGOJqfeWmYwieXQroCL3ChQQr1zEC;adresse4;;residence4;;PU;intitule4;Chercheur;imatricula;4;NomPrenomUser4;;carteSncf4;101010104;1999-12-25;1;1;1;Allemand;0;h;;0;0;"2019-05-01 16:15:00";;25
6;;nomUser6;prenomUser6;user6@email.fr;$2y$10$PksbXyiUFxHocqxYr4HmlOJfGGOJqfeWmYwieXQroCL3ChQQr1zEC;adresse6;;residence6;;PU;intitule6;Chercheur;imatricula;6;NomPrenomUser6;;carteSncf6;101010106;1986-02-24;1;2;2;Allemand;0;f;;1;0;"2019-05-01 16:15:00";;31
6;;nomUser6;prenomUser6;user6@email.fr;$2y$10$PksbXyiUFxHocqxYr4HmlOJfGGOJqfeWmYwieXQroCL3ChQQr1zEC;adresse6;;residence6;;PU;intitule6;Chercheur;imatricula;6;NomPrenomUser6;;carteSncf6;101010106;1986-02-24;1;2;2;Allemand;0;f;;1;0;"2019-05-01 16:15:00";;75
6;;nomUser6;prenomUser6;user6@email.fr;$2y$10$PksbXyiUFxHocqxYr4HmlOJfGGOJqfeWmYwieXQroCL3ChQQr1zEC;adresse6;;residence6;;PU;intitule6;Chercheur;imatricula;6;NomPrenomUser6;;carteSncf6;101010106;1986-02-24;1;2;2;Allemand;0;f;;1;0;"2019-05-01 16:15:00";;100
