id;role;nom;prenom;email;pass;adresse_agent_1;adresse_agent_2;residence_admin_1;residence_admin_2;type_personnel;intitule;grade;im_vehicule;pf_vehicule;signature_name;login_cas;carte_sncf;matricule;date_naissance;actif;lieu_travail_id;equipe_id;nationalite;est_francais;genre;hdr;permanent;est_porteur;date_creation;date_sortie
1;admin;nomAdmin;prenomAdmin;admin@email.fr;;adresse1;;residence1;;PU;intitule1;Admin;imatricula;1;NomPrenomAdmin;;carteSncf1;101010101;4/1/95;1;1;;Français;1;1;;1;1;"5/1/19, 4:15 PM";
2;;nomUser2;prenomUser2;user2@email.fr;;adresse2;;residence2;;Do;intitule2;"Chef d equipe";imatricula;2;NomPrenomUser2;;carteSncf2;101010102;6/7/97;1;1;1;Français;1;0;;1;1;"5/1/19, 4:15 PM";
3;;nomUser2;prenomUser3;user3@email.fr;;adress3;;residence3;;PU;intitule3;"Chef d equipe";imatricula;3;NomPrenomUser3;;carteSncf3;101010103;10/20/90;1;2;2;Français;1;1;;1;;"5/1/19, 4:15 PM";
4;;nomUser3;prenomUser4;user4@email.fr;;adresse4;;residence4;;PU;intitule4;Chercheur;imatricula;4;NomPrenomUser4;;carteSncf4;101010104;12/25/99;1;1;1;Allemand;;1;;;;"5/1/19, 4:15 PM";
5;;nomUser4;prenomUser5;user5@email.fr;;adresse5;;residence5;;PE;intitule5;Chercheur;imatricula;5;NomPrenomUser5;;;101010105;2/1/87;1;1;1;Americain;;0;;1;;"5/1/19, 4:15 PM";
6;;nomUser6;prenomUser6;user6@email.fr;;adresse6;;residence6;;PU;intitule6;Chercheur;imatricula;6;NomPrenomUser6;;carteSncf6;101010106;2/24/86;1;2;2;Allemand;;0;;1;;"5/1/19, 4:15 PM";
7;;nomUser7;prenomUser7;user7@email.fr;;adresse7;;residence7;;PE;intitule7;Chercheur;imatricula;7;NomPrenomUser7;;;101010107;7/1/86;1;2;2;Americain;;1;;1;;"5/1/19, 4:15 PM";
8;;nomUser8;prenomUser8;user8@email.fr;;adresse8;;residence8;;PE;intitule8;Chercheur;imatricula;8;NomPrenomUser8;;;101010108;3/18/79;1;2;2;Français;1;0;;1;;"5/1/19, 4:15 PM";
9;;nomUser9;prenomUser9;user9@email.fr;;adresse9;;residence9;;Do;intitule9;Chercheur;imatricula;9;NomPrenomUser9;;carteSncf9;101010109;7/6/92;1;1;3;Français;1;0;;;;"5/1/19, 4:15 PM";
10;;nomUser10;prenomUser10;user10@email.fr;;adresse10;;residence10;;PU;intitule10;Chercheur;imatricula;10;NomPrenomUser10;;carteSncf10;101010110;11/24/92;1;1;3;Anglais;;1;;1;;"5/1/19, 4:15 PM";
11;;nomUser11;prenomUser11;user11@email.fr;;adresse11;;residence11;;PU;intitule11;Chercheur;imatricula;11;NomPrenomUser11;;carteSncf11;101010111;5/21/93;1;2;2;Français;1;0;;1;;"5/1/19, 4:15 PM";
12;;nomUser12;prenomUser12;user12@email.fr;;adresse12;;residence12;;Do;intitule12;Chercheur;imatricula;12;NomPrenomUser12;;carteSncf12;101010112;4/16/94;1;1;1;Français;1;1;;;;"5/1/19, 4:15 PM";
13;;nomUser13;prenomUser13;user13@email.fr;;adresse13;;residence13;;Do;intitule13;Chercheur;imatricula;13;NomPrenomUser13;;carteSncf13;101010113;7/9/93;1;1;3;Espagnol;;0;;1;;"5/1/19, 4:15 PM";
14;;nomUser14;prenomUser14;user14@email.fr;;adresse14;;residence14;;Do;intitule14;Chercheur;imatricula;14;NomPrenomUser14;;carteSncf14;101010114;11/27/95;1;2;2;Français;1;0;;1;;"5/1/19, 4:15 PM";
15;;nomUser15;prenomUser15;user15@email.fr;;adresse15;;residence15;;Do;intitule15;Chercheur;imatricula;15;NomPrenomUser15;;carteSncf15;101010115;6/13/94;1;1;3;Anglais;;1;;;;"5/1/19, 4:15 PM";
16;;nomUser16;prenomUser16;user16@email.fr;;adresse16;;residence16;;PU;intitule16;"Chef d equipe";imatricula;16;NomPrenomUser16;;carteSncf16;101010116;5/21/93;1;3;4;Français;1;0;;1;;"5/1/19, 4:15 PM";
17;;nomUser17;prenomUser17;user17@email.fr;;adresse17;;residence17;;PU;intitule17;"Chef d equipe";imatricula;17;NomPrenomUser17;;carteSncf17;101010117;4/16/94;1;2;5;Français;1;1;;;;"5/1/19, 4:15 PM";
18;;nomUser18;prenomUser18;user18@email.fr;;adresse18;;residence18;;PU;intitule18;"Chef d equipe";imatricula;18;NomPrenomUser18;;carteSncf18;101010118;7/9/93;1;3;6;Espagnol;;1;;1;;"5/1/19, 4:15 PM";
19;;nomUser19;prenomUser19;user19@email.fr;;adresse19;;residence19;;PU;intitule19;"Chef d equipe";imatricula;19;NomPrenomUser19;;carteSncf19;101010119;11/27/95;1;3;7;Français;1;1;;1;;"5/1/19, 4:15 PM";
20;;nomUser20;prenomUser20;user20@email.fr;;adresse20;;residence20;;PU;intitule20;Chercheur;imatricula;20;NomPrenomUser20;;carteSncf20;101010120;6/13/94;1;3;7;Anglais;;0;;;;"5/1/19, 4:15 PM";
